Date,Open,High,Low,Close,Adj Close,Volume
2017-03-09,8.150000,8.150000,7.900000,7.900000,7.510990,4100
2017-03-10,7.670000,7.900000,7.640000,7.640000,7.263792,17000
2017-03-13,7.720000,7.820000,7.720000,7.770000,7.387391,12900
2017-03-14,7.650000,7.700000,7.650000,7.660000,7.282808,2400
2017-03-15,7.750000,7.800000,7.650000,7.690000,7.311330,11400
2017-03-16,8.000000,8.000000,7.900000,7.950000,7.558527,6200
2017-03-17,8.160000,8.180000,7.990000,7.990000,7.596558,2200
2017-03-20,7.980000,8.040000,7.970000,7.970000,7.577542,4500
2017-03-21,7.770000,7.820000,7.740000,7.740000,7.358868,10900
2017-03-22,7.680000,7.720000,7.580000,7.590000,7.216255,4300
2017-03-23,7.770000,7.840000,7.690000,7.840000,7.453944,1900
2017-03-24,7.780000,7.950000,7.780000,7.820000,7.434929,14000
2017-03-27,7.780000,7.950000,7.780000,7.780000,7.396899,3600
2017-03-28,7.870000,7.990000,7.780000,7.930000,7.539512,71600
2017-03-29,8.130000,8.220000,8.130000,8.170000,7.767694,661500
2017-03-30,8.300000,8.350000,8.280000,8.330000,7.919816,290300
2017-03-31,8.400000,8.470000,8.230000,8.410000,7.995876,222900
2017-04-03,8.500000,8.600000,8.380000,8.480000,8.062428,82600
2017-04-04,8.470000,8.680000,8.470000,8.550000,8.128983,6800
2017-04-05,8.620000,8.850000,8.580000,8.770000,8.338149,41800
2017-04-06,9.000000,9.000000,8.770000,8.820000,8.385687,18100
2017-04-07,8.960000,8.980000,8.770000,8.770000,8.338149,10400
2017-04-10,8.840000,8.880000,8.700000,8.820000,8.385687,45700
2017-04-11,8.740000,8.770000,8.660000,8.720000,8.290612,29000
2017-04-12,8.700000,8.700000,8.660000,8.690000,8.262089,35700
2017-04-13,8.750000,8.750000,8.600000,8.620000,8.195536,112800
2017-04-17,8.650000,8.760000,8.530000,8.760000,8.328642,12000
2017-04-18,8.440000,8.510000,8.440000,8.450000,8.033906,8800
2017-04-19,8.630000,8.630000,8.450000,8.450000,8.033906,28900
2017-04-20,8.740000,8.750000,8.650000,8.660000,8.233566,6900
2017-04-21,8.640000,8.770000,8.520000,8.520000,8.100461,10400
2017-04-24,8.400000,8.630000,8.400000,8.470000,8.052922,15400
2017-04-25,8.670000,8.690000,8.620000,8.630000,8.205043,25500
2017-04-26,8.920000,9.000000,8.920000,8.920000,8.480763,55400
2017-04-27,9.230000,9.450000,9.230000,9.300000,8.842051,22200
2017-04-28,9.300000,9.480000,9.300000,9.440000,8.975157,6300
2017-05-01,9.400000,9.430000,9.240000,9.240000,8.785006,7400
2017-05-02,9.250000,9.360000,9.220000,9.230000,8.775497,17600
2017-05-03,9.320000,9.400000,9.100000,9.210000,8.756483,5800
2017-05-04,9.280000,9.280000,9.000000,9.150000,8.699437,21900
2017-05-05,9.000000,9.100000,8.910000,8.960000,8.518793,9400
2017-05-08,9.240000,9.260000,9.010000,9.090000,8.642392,11000
2017-05-09,9.050000,9.070000,8.910000,9.030000,8.585346,10100
2017-05-10,8.970000,8.980000,8.880000,8.930000,8.490271,10200
2017-05-11,8.900000,9.000000,8.850000,8.850000,8.414210,7700
2017-05-12,8.860000,8.890000,8.600000,8.640000,8.214551,4900
2017-05-15,8.710000,8.820000,8.600000,8.670000,8.243073,6200
2017-05-16,8.680000,8.760000,8.590000,8.630000,8.205043,7900
2017-05-17,8.630000,8.730000,8.530000,8.680000,8.252581,13400
2017-05-18,8.500000,8.610000,8.500000,8.590000,8.167013,14200
2017-05-19,8.570000,8.680000,8.460000,8.630000,8.205043,7400
2017-05-22,8.620000,8.650000,8.610000,8.630000,8.205043,17600
2017-05-23,8.580000,8.720000,8.500000,8.520000,8.100461,3800
2017-05-24,8.750000,8.780000,8.510000,8.510000,8.090952,17600
2017-05-25,8.710000,8.820000,8.650000,8.650000,8.224058,12900
2017-05-26,8.540000,8.570000,8.300000,8.340000,7.929323,8100
2017-05-30,8.300000,8.430000,8.300000,8.400000,7.986368,8100
2017-05-31,8.340000,8.430000,8.290000,8.430000,8.014892,7900
2017-06-01,8.290000,8.290000,8.060000,8.120000,7.720157,29200
2017-06-02,8.060000,8.180000,8.010000,8.150000,8.009595,9300
